ADDRESS,OPERATION NAME,DATE OF INSPECTION,VIOLATION ITEM,VIOLATION DESCRIPTION,CRITICAL VIOLATION,TOTAL # CRITICAL VIOLATIONS,TOTAL # CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY CODE,FACILITY ADDRESS,FACILITY CITY,FACILITY POSTAL ZIPCODE,NYSDOH GAZETTEER (1980),FACILITY MUNICIPALITY,PERMIT EXPIRATION DATE,FOOD SERVICE TYPE,FOOD SERVICE DESCRIPTION,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTION COMMENTS,FS FACILITY STATE,LATITUDE,LONGITUDE
"130 MEYER ROAD,  CLIFTON PARK",OLD DUBLIN INN/Dormant,10/30/2007,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,5,0,23,Glens Falls District Office,SARATOGA,45-AB40   ,130 MEYER ROAD,CLIFTON PARK,12065    ,455200,CLIFTON PARK,,Food Service Establishment,Restaurant,OLD DUBLIN INN,"LARBACK, INC.",BYRNE,ANGELA ,452518,Inspection,,NY,42.90104,-73.77363
"2814 STATE ROUTE 9,  LAKE GEORGE",OLDE LOG INN/Dormant,12/03/2007,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,3,0,14,Glens Falls District Office,WARREN,56-AB69   ,2814 STATE ROUTE 9  ,LAKE GEORGE,12845    ,565100,LAKE GEORGE,,Food Service Establishment,Restaurant,,,,,332675,Inspection,,NY,43.44018,-73.72578
"4136 ROCKWELL STREET,  HADLEY",SARATOGA ROSE INN & RESTAURANT/Inactive,12/04/2007,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,1,0,8,Glens Falls District Office,SARATOGA,45-AJ79   ,4136 ROCKWELL STREET,HADLEY,12835    ,455800,HADLEY,06/30/2010,Food Service Establishment,Restaurant,,LUNA ROSE INC.,FERRUGIO,RICHARD,333164,Inspection,,NY,,
"STATE ROUTE 9,  BALLSTON SPA",BENTLEY'S/Inactive,12/11/2007,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,0,0,13,Glens Falls District Office,SARATOGA,45-AB69   , STATE ROUTE 9  ,BALLSTON SPA,12020    ,456000,MALTA,,Food Service Establishment,Restaurant,,"W.A. BENTLEY, INC.",BENTLEY,WILLIAM,333457,Inspection,,NY,,
"443 GEYSER ROAD,  BALLSTON SPA",Geyser Sports Pub/Inactive,04/14/2008,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,1,0,4,Glens Falls District Office,SARATOGA,45-AS39   ,443 GEYSER ROAD,BALLSTON SPA,12020    ,456100,MILTON,12/31/2008,Food Service Establishment,Restaurant,,,CLANCY,MICHAEL,334098,Inspection,,NY,,
"276  MAIN  STREET,  NORTH CREEK",SNOW TRAIN ICE CREAM STOP/Inactive,04/17/2008,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,2,0,6,Glens Falls District Office,WARREN,56-BD52   ,276  MAIN  STREET,NORTH CREEK,12853    ,565500,JOHNSBURG,,Food Service Establishment,Food Service Establishment,,SNOW TRAIN ICE CREAM,GREENAN,WILLIAM & INGE,513087,Inspection,,NY,43.700717,-73.98686
"2002 DOUBLEDAY  AVENUE,  BALLSTON SPA",LABELLA PIZZA & PASTA/Inactive,04/03/2008,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,1,0,6,Glens Falls District Office,SARATOGA,45-BD98   ,2002 DOUBLEDAY  AVENUE,BALLSTON SPA,12020    ,452000,BALLSTON,,Food Service Establishment,Food Service Establishment,,TALJ CORP,RAZAI,TAIBA,531204,Inspection,,NY,43.010459,-73.849547
"3503 STATE ROUTE 4,  HUDSON FALLS",MANLEY'S ROUTE 4 RESTAURANT/Inactive,04/03/2008,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,1,0,14,Glens Falls District Office,WASHINGTON,57-AB65   ,3503 STATE ROUTE 4  ,HUDSON FALLS,12839    ,576200,KINGSBURY,,Food Service Establishment,Restaurant,,,MANLEY,STEPHEN,333358,Inspection,,NY,43.343536,-73.549489
"20 MAIN STREET,  GRANVILLE",SCOTTIES/Inactive,04/30/2008,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,0,0,12,Glens Falls District Office,WASHINGTON,57-AA87   ,20 MAIN STREET,GRANVILLE,12832    ,572500,GRANVILLE,06/30/2016,Food Service Establishment,Restaurant,,"CINNAMON AND SAGE, INC.",SCOTT,THOMAS,333188,Inspection,,NY,43.407722,-73.26026
"1759 ROUTE 9,  CLIFTON PARK",GIFFY'S SNACK SHACK/Inactive/Inactive,05/05/2008,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,0,0,2,Glens Falls District Office,SARATOGA,45-AP60   ,1759 ROUTE 9  ,CLIFTON PARK,12065    ,455200,CLIFTON PARK,,Food Service Establishment,Food Service Establishment,,GIFFY'S INC.,GIFFORD,BRYAH,606643,Inspection,,NY,42.872338,-73.773745
"87 NORTH  MAIN STREET,  MECHANICVILLE",GLASS MOON (THE)/Inactive,06/04/2008,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,0,0,14,Glens Falls District Office,SARATOGA,45-AB74   ,87 NORTH  MAIN STREET,MECHANICVILLE,12118    ,452300,MECHANICVILLE,,Food Service Establishment,Food Service Establishment,,"THE GLASS MOON,  LLC.",PROBST,BRIAN,558191,Inspection,,NY,42.905286,-73.684693
"666 ROUTE 9,  GANSEVOORT",EVERGLADES BARBECUE & SEAFOOD/Inactive,10/23/2008,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,2,0,5,Glens Falls District Office,SARATOGA,45-AE32   ,666 ROUTE 9  ,GANSEVOORT,12831    ,456900,WILTON,,Food Service Establishment,Restaurant/Catering Operation,,"TMAC, INC.",MCNAMARA,TIIMOTHY ,372601,Inspection,,NY,43.157544,-73.758378
ROCHESTER,FAMOUS DAVES @ PAETEC PARK #3/Inactive,10/03/2008,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,4,Monroe County,MONROE,270519701 ,,ROCHESTER,14608    ,270104,ROCHESTER,12/31/2010,Food Service Establishment,Restaurant,,,,,667313,Inspection,,NY,,
"711 DOGWOOD AVENUE,  WEST HEMPSTEAD",IR DOGWOOD CATERERS @ JCC OF W HEMP/Dormant,09/24/2012,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,2,1,4,Nassau  County,NASSAU,06160-02  ,711 DOGWOOD AVENUE,WEST HEMPSTEAD,11753    ,295049,HEMPSTEAD,07/31/2014,Food Service Establishment,Catering Operation,,IR DOGWOOD CATERERS INC,RICHMAN,IRWIN,555942,Inspection,,NY,40.68814,-73.667845
"1A NORTH PARK  AVENUE,  ROCKVILLE CENTRE",GYRO BOSS/Dormant,10/17/2012,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,8,Nassau  County,NASSAU,01717-03  ,1A NORTH PARK  AVENUE,ROCKVILLE CENTRE,11570    ,290900,HEMPSTEAD,09/30/2014,Food Service Establishment,Food Service Establishment,,MARNESS 2011 INC.,,,786951,Inspection,,NY,40.656205,-73.645224
"66 MIDDLE NECK ROAD,  GREAT NECK",JEANMARIE PATISSERIE & BISTRO/Dormant,10/03/2012,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,2,0,11,Nassau  County,NASSAU,05101-07  ,66 MIDDLE NECK ROAD,GREAT NECK,11021    ,295106,N. HEMPSTEAD,12/31/2013,Food Service Establishment,Restaurant,,JEAN MARIE PATISSERIE & BISTRO INC.,,,754829,Inspection,,NY,40.788363,-73.729334
"585 NORTH BROADWAY,  JERICHO",MILLERIDGE COTTAGE/Dormant,10/24/2012,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,1,Nassau  County,NASSAU,00671-02  ,585 NORTH BROADWAY  ,JERICHO,11753    ,295206,OYSTER BAY,12/31/2015,Food Service Establishment,Catering Operation,,MILLERIDGE COTTAGE INC,,,576739,Re-Inspection,,NY,40.790632,-73.537613
"40 STATE STREET,  WESTBURY",STARLIGHT/Dormant,11/15/2012,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,2,Nassau  County,NASSAU,16510-05  ,40 STATE STREET,WESTBURY,115905003,291400,N. HEMPSTEAD,10/31/2014,Food Service Establishment,Delicatessen,,,BAEK,MINJA,672750,Re-Inspection,,NY,40.755912,-73.558377
"526 MIDDLE NECK  ROAD,  GREAT NECK",MANGIA BENE/Dormant,12/05/2012,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,6,Nassau  County,NASSAU,06621-02  ,526 MIDDLE NECK  ROAD,GREAT NECK,11023    ,291300,N. HEMPSTEAD,12/31/2015,Food Service Establishment,Restaurant,MANGIA BENE,ADJ LLC,,,570710,Inspection,,NY,40.800628,-73.734737
"753 WANTAGH  AVENUE,  WANTAGH",TORO PAZZO/Dormant,11/30/2012,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,1,0,3,Nassau  County,NASSAU,15650-08  ,753 WANTAGH  AVENUE,WANTAGH,11793    ,295050,HEMPSTEAD,09/30/2014,Food Service Establishment,Restaurant,,"SANTORO RESTAURANT, LLC",,,789285,Inspection,,NY,40.705653,-73.503152
"2225 JERUSALEM  AVENUE,  N MERRICK",THAI CHEF CUISINE/Dormant,12/19/2012,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,1,0,4,Nassau  County,NASSAU,02859-08  ,2225 JERUSALEM  AVENUE,N MERRICK,11566    ,295035,HEMPSTEAD,11/30/2013,Food Service Establishment,Food Service Establishment,,THAI CHEF CUISINE INC,ATTHAKORN,KANTEERA,822265,Inspection,,NY,,
"1016 BROADWAY,  WOODMERE",MAXS APPETIZING AND KOSHER DELI/Dormant,01/10/2013,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,13,Nassau  County,NASSAU,08351-03  ,1016 BROADWAY  ,WOODMERE,11598    ,295051,HEMPSTEAD,11/30/2013,Food Service Establishment,Delicatessen,MAXS APPETIZING AND KOSHER DELI,MAJESTIC CATERERS,,,576359,Inspection,,NY,40.63116,-73.707638
"46 GREAT NECK  ROAD,  GREAT NECK",CHEEBURGER CHEEBURGER/Dormant,01/31/2013,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,1,1,1,Nassau  County,NASSAU,18529-03  ,46 GREAT NECK  ROAD,GREAT NECK,11021    ,291300,N. HEMPSTEAD,03/31/2014,Food Service Establishment,Restaurant,,JUNO BROS LTD,,,801132,Re-Inspection,,NY,40.785881,-73.727822
"100 QUENTIN ROOSEVELT BOULEVARD,  GARDEN CITY",BRU'S/Dormant,02/07/2013,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,1,0,6,Nassau  County,NASSAU,16022-09  ,100 QUENTIN ROOSEVELT BOULEVARD,GARDEN CITY,11530    ,290500,HEMPSTEAD,10/31/2014,Food Service Establishment,Restaurant,,"DOGSTATE, LLC",,,752461,Inspection,,NY,40.729339,-73.604865
"283 MAIN STREET,  FARMINGDALE",SAKURA JAPANESE HIBACHI/Dormant,02/13/2013,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,1,0,2,Nassau  County,NASSAU,17724-08  ,283 MAIN STREET,FARMINGDALE,11735    ,292700,OYSTER BAY,09/30/2013,Food Service Establishment,Restaurant,,SAKURA JAPANESE HIBACH SUSHI INC.,,,751925,Re-Inspection,,NY,40.730559,-73.445458
"219 POST  AVENUE,  WESTBURY",EL SABOR DE MI TIERRA/Dormant,02/14/2013,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,5,Nassau  County,NASSAU,08143-11  ,219 POST  AVENUE,WESTBURY,11590    ,291400,N. HEMPSTEAD,04/30/2013,Food Service Establishment,Food Service Establishment,,,MENDEZ,CARLOS,568228,Re-Inspection,,NY,40.756618,-73.587947
"180 W OLD COUNTRY  ROAD,  HICKSVILLE",SMASHBURGER #1560/Dormant,03/12/2013,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,2,1,4,Nassau  County,NASSAU,20925-01  ,180 W OLD COUNTRY  ROAD,HICKSVILLE,11801    ,295205,OYSTER BAY,01/31/2017,Food Service Establishment,Food Service Establishment,,ISK HICKSVILLE LLC,,,795436,Inspection,,NY,40.762013,-73.527418
"1018 OLD COUNTRY ROAD,  PLAINVIEW",CHINA DRAGON/Dormant,03/21/2013,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,5,Nassau  County,NASSAU,03250-06  ,1018 OLD COUNTRY ROAD,PLAINVIEW,11803    ,295214,OYSTER BAY,08/31/2015,Food Service Establishment,Restaurant,,"CHINA DRAGON NY, INC",,,817960,Inspection,,NY,40.775835,-73.472423
"739 MAIN STREET,  POUGHKEEPSIE",EAST GARDEN/Inactive/Inactive,02/04/2010,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,1,0,7,Dutchess County,DUTCHESS,0000863   ,739 MAIN STREET,POUGHKEEPSIE,12603    ,136300,POUGHKEEPSIE,03/31/2010,Food Service Establishment,Restaurant,,,ZHENG,YING HUA,273990,Inspection,Failure to provide probe thermometer(s),NY,,
"796 MAIN STREET,  POUGHKEEPSIE",DUBLINER IRISH PUB/Inactive,03/23/2010,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,5,Dutchess County,DUTCHESS,0000877   ,796 MAIN STREET,POUGHKEEPSIE,12603    ,136300,POUGHKEEPSIE,06/30/2014,Food Service Establishment,Restaurant,,DICKEN'S ENGLISH PUB INC,TAKOS,GEORGE,273995,Inspection,,NY,41.695996,-73.900497
"739 MAIN STREET,  POUGHKEEPSIE",FIRST EAST GARDEN/Inactive,05/13/2010,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,6,Dutchess County,DUTCHESS,4010362   ,739 MAIN STREET,POUGHKEEPSIE,12603    ,136300,POUGHKEEPSIE,04/30/2014,Food Service Establishment,Restaurant,,,CHEN,JIAN,728926,Inspection,,NY,41.696895,-73.905467
"7100 ALBANY POST ROAD,  RHINEBECK",ALBANY POST ROAD HOUSE/Inactive,10/14/2010,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,3,Dutchess County,DUTCHESS,4010498   ,7100 ALBANY POST ROAD,RHINEBECK,12572    ,136400,RED HOOK,06/30/2014,Food Service Establishment,Restaurant,,O'LEARY 7100 INC,O'LEARY,CAROL,732407,Inspection,,NY,,
"737 MAIN STREET,  POUGHKEEPSIE",JADE'S BAKERY/Inactive,11/05/2010,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,5,Dutchess County,DUTCHESS,4007155   ,737 MAIN STREET,POUGHKEEPSIE,12603    ,136300,POUGHKEEPSIE,04/30/2013,Food Service Establishment,Bakery,,JADE'S BAKERY LLC,RENDON,GENESIS,514780,Inspection,,NY,41.696969,-73.905815
"161 COLLEGE AVENUE,  POUGHKEEPSIE",Vassar Alumnae House Restaurant,09/13/2011,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,5,Dutchess County,DUTCHESS,0133645   ,161 COLLEGE AVENUE,POUGHKEEPSIE,12603    ,136300,POUGHKEEPSIE,,Food Service Establishment,Restaurant,,,,,450277,Inspection,,NY,41.690119,-73.901801
"66 BROADWAY,  TIVOLI",BLACK SWAN PUB (BAR)/Inactive,05/24/2012,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,4,Dutchess County,DUTCHESS,4007240   ,66 BROADWAY  ,TIVOLI,12583    ,136400,RED HOOK,05/31/2012,Food Service Establishment,Tavern,,CIGNANERO LTD,NICKERSON,MICHAEL,517959,Inspection,,NY,42.058762,-73.910026
"13 Jackson STREET,  Batavia",BEST MARGARITAS MEXICAN GRILL INC./Dormant,12/23/2010,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,10,Genesee County,GENESEE,18fse00298,13 Jackson STREET,Batavia,14020    ,180100,BATAVIA,10/31/2010,Food Service Establishment,Food Service Establishment,,Best Margarita's Mexican Grill Inc.,HERNANDEZ,CARLOS ,555469,Re-Inspection,,NY,42.996915,-78.183276
"6173 Main ROAD,  Stafford",Sweet Ecstasy Bakery/Dormant,01/26/2012,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,6,Genesee County,GENESEE,18fse00323,6173 Main ROAD,Stafford,14143    ,186200,STAFFORD,06/30/2013,Food Service Establishment,Bakery,,,Pilc,Tonisha ,768375,Inspection,,NY,42.981774,-78.073925
"45 Main  STREET,  LeRoy",Cafe' LeRoy Plus/Dormant,03/13/2013,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,7,Genesee County,GENESEE,18fse00297,45 Main  STREET,LeRoy,14482    ,182300,LE ROY,01/31/2014,Food Service Establishment,Food Service Establishment,,,Antinore,Don & Reyhan,752072,Inspection,,NY,42.977601,-77.990932
"ROUTE 5,  CANASTOTA",PIZZA PLUTZ/Dormant,09/01/2006,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,1,0,9,Madison County,MADISON,26-AE82   , ROUTE 5  ,CANASTOTA,13032    ,265800,LENOX,01/31/2010,Food Service Establishment,Restaurant,,A & P ENTERPRISES INC.,LECLAIR,ARRON & PEGGY,281683,Inspection,"4A-CHEMICAL CLEANERE STORED NEXT TO FOOD ON FOOD STORAGE SHELF IN BACK ROOM AREA (CORRECTED: CHEMICAL PLACED IN CHEMICAL STORAGE AREA) CHEMICAL CONTAINERS NOT LABELED ON DRAIN BOARD OF THREE BAY SINK (CORRECTED: CHEMICALS LABELED)
10A-FOOD STORAGE SHELVES HAVE RUST BUILDUP INSIDE WALK-IN COOLER. INSIDE OF UPRIGHT REFRIGERATOR UNCLEAN. INSIDE BOTTOM AND TRACK OF COKE COOLER UNCLEAN. 
15A-FLOOR UNCLEAN IN DINING ROOM, KITCHEN, AND TWO BACK FOOD STORAGE ROOMS. FLOOR INSIDE WALK-IN AND RESTROOM UNCLEAN. FLOOR NOT SMOOTH AND CLEANABLE. INSIDE BACK BEVERAGE STORAGE ROOM. WALLS AND CEILING NOT SMOOTH AND CLEANABLE INSIDE BACK FOOD AND UTENSIL STORAGE AREA.. RUGS (UNCLEAN) UTILIZED IN FOOD STORAGE AREA.
10B-INSIDE BOTTOM OF FOOD STORAGE CABINET HAS BARE WOOD SURFACE.
11D-TOP OF UPRIGHT REFRIGERATORS UNCLEAN. TOP OF HOT HOLDING UNIT UNCLEAN.
11D-TOP OF PEPSI AND COKE COOLERS UNCLEAN. OUTSIDE AREA OF COKE COOLER UNCLEAN. FOOD UTENSIL STORAGE SHELF UNCLEAN IN MIDDLE KITCHEN AREA. FOOD STORAGE SHELF UNCLEAN ADJACENT TO WALK IN COOLER. BACK FOOD STORAGE SHELVES UNCLEAN.
15B-VENTILATION FILTERS UNCLEAN ABOVE DEEP FRYERS IN KITCHEN.
8A-FOOD STORED ON THE FLOOR INSIDE WALK IN COOLER. FOOD STORED ON THE FLOOR IN BACK FOOD STORAGE ROOM.
12C-INSIDE GREASE TRAP UNCLEAN
11D-OUTSIDE AREA OF GREASE TRAP UNCLEAN.",NY,,
"1284 UPPER LENOX AVE.,  ONEIDA",MCDONALDS RESTAURANT AT WALMART/Dormant,02/07/2007,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,2,Madison County,MADISON,26-AF83   ,1284 UPPER LENOX AVE.,ONEIDA,13421    ,260100,ONEIDA,02/28/2008,Food Service Establishment,Restaurant,,HAROLD T. CLARK,CLARK,HAROLD,282064,Inspection,"11B-WIPING CLOTH STORED OUTSIDE OF SANITIZING SOLUTION (CORRECTED)
12C-HANDWASH SINK NOT CLEAN INSIDE KITCHEN (CORRECTED)",NY,,
"41 WEST MAIN STREET,  MORRISVILLE",LEAMER'S MAIN STREET CAFE/Inactive,09/25/2007,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,1,0,5,Madison County,MADISON,26-AG03   ,41 WEST MAIN STREET,MORRISVILLE,13408    ,262300,EATON,10/31/2010,Food Service Establishment,Restaurant,,LEAMER'S MAIN STREET CAFE,LEAMER,TOM,282224,Inspection,"2E-PROUDCT STEM THERMOMETER INACCURATE BY 12 DEG LOW (CORRECTED: THERMOMETER PROPERLY CALIBRATED)
12E-HANDWASH SINK NOT ACCESSBILE
15A-FLOOR IN BACK KITCHEN AN DFOOD STORAGE ROOM UNCLEAN
10B-FREEZER DOOR COVER IN DISREPAIR
12C-GREASE TRAP UNCLEAN UNDER 3-BAY SINK
11B-SANITIZER INADEQUATE AND UNCLEAN (CORRECTED)
]",NY,,
"800  E. GENESEE  STREET,  CHITTENANGO",ROMA PIZZERIA/Dormant,01/10/2008,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,1,0,5,Madison County,MADISON,26-AH80   ,800  E. GENESEE  STREET,CHITTENANGO,13037    ,262900,SULLIVAN,04/30/2012,Food Service Establishment,Restaurant,,"OSTRANDER'S PIZZERIA AND GRILL, LLC",OSTRANDER,DEBORA,591164,Inspection,"10B-WOOD PALLETS USED TO STORE FOOD AND FOOD UTENSILS. BAREWOOD FOOD STORAGE SHELF NOT SMOOTH AND CLEANABLE
6A-COOKED CHICKEN IN FRYER BASKET AT 100DEG. FOR LESS THAN TWO HOURS. (CORRECTED: CHICKEN PLACED UNDER DIRECT REFRIGERAITON). ONE CHICKEN WING PIZZA AT 71 DEG. AND ONE SAUSAGE PIZZA AT 75 DEG. STORED ON PIZZA RACK FOR LESS THAN TWO HOURS. (CORRECTED: PIZZA PLACED UNDER DIRECT REFRIGERATION)
11B-WIPING CLOTHS STORED OUTSIDE OF SANITIZING SOLUTION
11D-DINING ROOM TABLES NOT PROPERLY CLEANED FOLLOWING USE (CORRECTED)
11C-BLADE OF CAN OPENER UNCLEAN.
12C-3-BAY STAINLESS STEEL SINK AND ONE  DRY STAINLESS FOOD PREPARATION SINK UNCLEAN",NY,,
"24 UTICA  STREET,  HAMILTON",MAIN MOON  HAMILTON/Dormant,09/25/2008,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,5,Madison County,MADISON,26-AD99   ,24 UTICA  STREET,HAMILTON,13346    ,262500,HAMILTON,03/31/2014,Food Service Establishment,Restaurant,,,ZHENG,DIAN,281464,Inspection,"8A-FOOD STORED ON FLOOR INSIDE WALK IN COOLER
12E-HANDWASH SINK UNACCESSIBLE (CORRECTED) HAND WASH SINK UNCLEAN (CORRECTED)
12C-FOOD PREAPARATION SINK UNCLEAN (CORRECTED)  FOOD PREPARATION SINK UNACCESSIBLE (CORRECTED_)
10B-COMPRESSOR LEAKING INSIDE WALK IN COOLER

11D-DRY FOOD STORAGE SHELVES UNCLEAN IN KITCHEN",NY,42.827266,-75.545459
"52-54 ALBANY STREET,  CAZENOVIA",ALBERT'S RESTAURANT/Dormant,02/09/2010,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,35,Madison County,MADISON,26-AA01   ,52-54 ALBANY STREET,CAZENOVIA,13035    ,262100,CAZENOVIA,11/30/2011,Food Service Establishment,Restaurant,,,MARION,JOHN,280558,Inspection,"15A-WALL BEHIND MICROWAVE UNCLEAN, CONTAINS A HOLE AND NOT SMOOTH AND CLEANABLE
8A-SALAD DRESSING STORED UNCOVERED IN KTICHEN
11D-FAN COVERS UNCLEAN ON SINGLE DOOR FREEZERS
11D-BASE OF 3 DOOR COOLER UNCLEAN
10B-SEALS ONSINGLE DOOR FREEZERS UNCLEAN
15A-WINDOW SILL NEAR SLICER CONTAINS PEELING PAINT AND NTO SMOOTH AND CLEANABLE
11D-GRILL UNCLEAN CONTAINS EXCESSIVE GREASE BUILDUP
11D-CHARGRILL BASE UNCLEAN
11C-BROILER TRAY ON RANGE UNCLEAN
15A-FLOOR UNDER GRILL UNCLEAN
15A-FLOOR, UNDER DEEP FRYERS UNCLEAN-EXCESSIVE BUILDUP
10B-SHELF OVER SLICER UNCLEAN AND CONTAINS BAREWOOD
15A-WALL BEHIND SLICER UNCLEAN
15A-FLOOR UNCLEAN UNDER SINGLE DOOR FREEZERS AND STEAM TABLE
15A-FLOOR UNDER 2 BAY SINK UNCLEAN-EXCESSIVE PIECES OF FOOD BUILD UP
10B-TWO BAY SINK UNCLEAN
15A-WALL BEHIND DISH WASHER UNCLEAN-INCLUDING WINDOW AND SCREENS
11D-COOLER/FREEZER COILS UNCLEN
15A-EXPOSED INSULATION IN BEER COOLER IN BASEMETN
16-EXCESSIVE TRASH WASTE BUILDUP IN BEER COOLER
10A-ICE MACHINE BEHIND BAR IMPROPERLY CLEANED AND CONTAINS RUST/MOLD
11D-DISHWASHER UNCLEAN
15A-FLOOR UNDER DISHWASHER UNCLEAN
15D-CHEIMCIAL STORAGE NTO CONFINED TO ONE AREA
15A-RUG UTLIZED IN BASEMENT FOOD STORAGE AREA. CEILING AND FLOOR NOT SMOOTH AND CLEANABLE IN BASEMENT FOOD STORAGE AREA
10A-RUSTY SHELVING UTILIZED IN F.S AREA IN BASEMENT
15A-PEELING PAINT ON FLOORS  IN BASEMENT F.S
15A-WALL I NF.S AREA NOT SMOOTH AND CLEANALBE
12C=-BASEMENT FREEZER CONDENSATE DRAIN BACKED UP ICE BUILD UP ON SHELVES
11D-FLOOR UNCLEAN CRACKED PALLETS AND BARE WOOD UTILIZED IN WALK IN BASEMENT FREEZER
15A-MOLD BUILDUP IN WALK IN COOLER AND BEER COOLER
15A-FLOOR UNCLEAN IN WALK IN COOLER
15A-FLOOR OUTSIDE WALKIN COOLERS/FREEZER UNCLEAN AND NOT SMOOTH AND CLEANALBLE",NY,,
