FACILITY,ADDRESS,DATE OF INSPECTION,VIOLATION ITEM,VIOLATION DESCRIPTION,CRITICAL VIOLATION,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY CODE,FACILITY ADDRESS,FACILITY CITY,FACILITY POSTAL ZIPCODE,NYSDOH GAZETTEER (1980),FACILITY MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,FOOD SERVICE TYPE,FOOD SERVICE DESCRIPTION,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTION COMMENTS,FS FACILITY STATE,LATITUDE,LONGITUDE
"GREENSTAR RESTAURANT, THE","163 NORTH MIDDLETOWN ROAD,  PEARL RIVER",04/21/2015,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,0,0,4,Rockland County,ROCKLAND,43-4181   ,163 NORTH MIDDLETOWN ROAD,PEARL RIVER,10965    ,435200,ORANGETOWN,THE GREENSTAR RESTAURANT,09/30/2016,Food Service Establishment,Food Service Establishment,,THE GREENSTAR RESTAURANT CORP.,ZOTAMBA,FRANQUIL,867516,Inspection,,NY,41.06545,-74.012642
TASTES OF WINE COUNTRY              ,"1855 STATE ROUTE 96A,  OVID",09/29/2008,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,1,0,1,Seneca  County,SENECA,49-05278  ,1855 STATE ROUTE 96A  ,OVID,14521    ,495500,ROMULUS,TASTES OF WINE COUNTRY,06/30/2016,Food Service Establishment,Restaurant,,,REED,MARY,673556,Inspection,,NY,42.680286,-76.842241
FORTUNATO'S PIZZA & MORE            ,"22 NORTH MAIN STREET,  NEWARK VALLEY",12/16/2015,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,0,0,4,Tioga County,TIOGA,53-5148   ,22 NORTH MAIN STREET,NEWARK VALLEY,13811    ,532200,NEWARK VALLEY,FORTUNATO'S PIZZA & MORE,11/30/2016,Food Service Establishment,Restaurant,,,VATTIATO,LAURA,311718,Inspection,,NY,42.224952,-76.183065
LEE LIN                             ,"539 PAWLING AVENUE,  TROY",11/15/2005,5A,"Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.",Critical Violation,5,0,7,Rensselaer County,RENSSELAER,41-T142   ,539 PAWLING AVENUE,TROY,12180    ,410202,TROY,LEE LIN,10/31/2016,Food Service Establishment,Restaurant,,,LEE,HILTON,301370,Inspection,,NY,42.705547,-73.660201
JOE'S CRAB SHACK                    ,"4370 PALISADES CTR. DRIVE,  WEST NYACK",03/22/2016,5A,"Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.",Critical Violation,1,0,1,Rockland County,ROCKLAND,43-5415   ,4370 PALISADES CTR. DRIVE,WEST NYACK,10994    ,435000,CLARKSTOWN,JOE'S CRAB SHACK,11/30/2016,Food Service Establishment,Food Service Establishment,,"CRAB ADDISON, INC.",LEIST,BRAD,821562,Inspection,,NY,,
DEMARCO'S RT 5 PIZZA                ,"301 MOHAWK  AVENUE,  SCOTIA",07/13/2015,5A,"Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.",Critical Violation,2,0,2,Schenectady County,SCHENECTADY,46-BI69   ,301 MOHAWK  AVENUE,SCOTIA,12302    ,462000,GLENVILLE,DEMARCO'S RT 5 PIZZA,06/30/2016,Food Service Establishment,Food Service Establishment,,"GOPHER PIZZA, LLC",DEMARCO,DOUGLAS,794168,Inspection,,NY,42.827672,-73.968168
BUFFALO WILD WINGS #267             ,"410 ELMIRA ROAD,  ITHACA",02/14/2014,5A,"Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.",Critical Violation,1,0,1,Tompkins County,TOMPKINS,54-AK08   ,410 ELMIRA ROAD,ITHACA,14850    ,540100,ITHACA,BUFFALO WILD WINGS #267,06/30/2016,Food Service Establishment,Restaurant,,"BLAZIN WINGS, INC.",HUMPERVILLE,THOMAS,722292,Inspection,,NY,42.419769,-76.519955
EL GRAN RODEO                       ,"390 NORTH AVENUE,  NEW ROCHELLE",03/27/2007,5A,"Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.",Critical Violation,1,0,4,Westchester County,WESTCHESTER,01-J888-A ,390 NORTH AVENUE,NEW ROCHELLE,10801    ,590400,NEW ROCHELLE,EL GRAN RODEO,10/31/2016,Food Service Establishment,Food Service Establishment,,EL GRAN RODEO INC.,EL GRAN RODEO INC., ,534432,Inspection,,NY,40.915313,-73.784971
EL GRAN RODEO                       ,"390 NORTH AVENUE,  NEW ROCHELLE",12/05/2008,5A,"Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.",Critical Violation,2,0,4,Westchester County,WESTCHESTER,01-J888-A ,390 NORTH AVENUE,NEW ROCHELLE,10801    ,590400,NEW ROCHELLE,EL GRAN RODEO,10/31/2016,Food Service Establishment,Food Service Establishment,,EL GRAN RODEO INC.,EL GRAN RODEO INC., ,534432,Inspection,,NY,40.915313,-73.784971
BEDFORD DINER                       ,"710 BEDFORD ROAD,  BEDFORD HILLS",02/05/2010,5A,"Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.",Critical Violation,1,1,10,Westchester County,WESTCHESTER,01-K726-A ,710 BEDFORD ROAD,BEDFORD HILLS,10507    ,595000,BEDFORD,BEDFORD DINER,12/31/2016,Food Service Establishment,Food Service Establishment,,D S D REST. INC.,, ,599024,Inspection,,NY,41.225682,-73.713503
LOU'S CORNER STORE                  ,"100 FREDRICK STREET,  CORTLANDT MANOR",01/15/2013,5A,"Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.",Critical Violation,1,0,1,Westchester County,WESTCHESTER,01-N252-A ,100 FREDRICK STREET,CORTLANDT MANOR,10567    ,595100,CORTLANDT,LOU'S CORNER STORE,09/30/2016,Food Service Establishment,Delicatessen,,EESHA DELI LLC,PARKASH,VED,788059,Inspection,,NY,41.301573,-73.882906
ROMANA'S ITALIAN KITCHEN            ,"219 NORTH COMRIE AVENUE,  JOHNSTOWN",06/04/2015,5A,"Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.",Critical Violation,4,0,2,Herkimer District Office,FULTON,17-AB27   ,219 NORTH COMRIE AVENUE,JOHNSTOWN,12095    ,170200,JOHNSTOWN,ROMANA'S ITALIAN KITCHEN,03/31/2017,Food Service Establishment,Restaurant,ROMANA'S ITALIAN KITCHEN,"ROMANA'S ITALIAN KITCHEN, INC.",VAHAVIOLOS,SARANTOS,337824,Inspection,noted: glove usage. proper chilling methods for large batches soup observed. walk-in coolers/freezers ok.,NY,43.015868,-74.361276
LISCIANDRO'S RESTAURANT             ,"207  NORTH MAIN STREET,  Jamestown",02/24/2015,5B,Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120oF to 70oF or less within two hours and 70oF to 45oF within four hours.,Critical Violation,1,0,1,Chautauqua County,CHAUTAUQUA,06-AI74   ,207  NORTH MAIN STREET,Jamestown,14701    ,060200,JAMESTOWN,LISCIANDRO'S RESTAURANT,03/31/2017,Food Service Establishment,Restaurant,,,LISCIANDRO,JOHN,263654,Inspection,"Stuffed peppers were cooling in refrigerator covered. This was corrected by uncovering. A thermometer was missing in Frigidaire freezer. This was corrected by placing a new one into the freezer. Temps in hot holding were taken: spaghetti sauce 150F, Broccoli soup 146F, Brown gravy 150F, potatoes 140F, Rigatoni 140F, Meatballs 150F, Sausage 150F. Discussed with owner the cooling procedures and ill foodworker policy.",NY,42.095596,-79.241163
CHAN'S GARDEN                       ,"710 OLD BETHPAGE ROAD,  OLD BETHPAGE",03/24/2016,5B,Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120oF to 70oF or less within two hours and 70oF to 45oF within four hours.,Critical Violation,3,0,9,Nassau  County,NASSAU,06434-06  ,710 OLD BETHPAGE ROAD,OLD BETHPAGE,11804    ,295211,OYSTER BAY,CHAN'S GARDEN,10/31/2016,Food Service Establishment,Restaurant,,"CHAN'S GARDEN CHINESE RESTAURANT, INC.",,,720886,Inspection,Grade: C. Seats: 32. FMTC: Mei Yun Wang #44817 ex. 10/18.,NY,40.765019,-73.454999
No. 1 Kitchen                       ,"317 Nottingham ROAD,  Syracuse",11/03/2014,5B,Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120oF to 70oF or less within two hours and 70oF to 45oF within four hours.,Critical Violation,1,0,3,Onondaga County,ONONDAGA,4628      ,317 Nottingham ROAD,Syracuse,13210    ,335300,DEWITT,No. 1 Kitchen,01/31/2017,Food Service Establishment,Restaurant,,No. 1 Kitchen of Upstate Inc.,Dong,Shou Zhou,726292,Re-Inspection,,NY,43.028949,-76.11146
Texas De Brazil                     ,"9090 Destiny USA DRIVE,  Syracuse",05/18/2015,5B,Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120oF to 70oF or less within two hours and 70oF to 45oF within four hours.,Critical Violation,2,0,7,Onondaga County,ONONDAGA,5474      ,9090 Destiny USA DRIVE,Syracuse,13204    ,330100,SYRACUSE,Texas De Brazil,01/31/2017,Food Service Establishment,Restaurant,,Texas De Brazil (Syracuse) Corporation,Sekhri,Anil,848903,Inspection,** Notes:  Ensure sanitary gloves used in conjuction with ice scoops that lack handguards.,NY,,
ROMANA'S ITALIAN KITCHEN            ,"219 NORTH COMRIE AVENUE,  JOHNSTOWN",05/01/2008,5B,Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120oF to 70oF or less within two hours and 70oF to 45oF within four hours.,Critical Violation,1,0,5,Herkimer District Office,FULTON,17-AB27   ,219 NORTH COMRIE AVENUE,JOHNSTOWN,12095    ,170200,JOHNSTOWN,ROMANA'S ITALIAN KITCHEN,03/31/2017,Food Service Establishment,Restaurant,ROMANA'S ITALIAN KITCHEN,"ROMANA'S ITALIAN KITCHEN, INC.",VAHAVIOLOS,SARANTOS,337824,Inspection,,NY,43.015868,-74.361276
ELMIRA DRIVE-IN  (Seasonal)         ,"2417 STATE ROUTE 352,  BIG FLATS",05/20/2012,5C,Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).,Critical Violation,3,0,1,Chemung County,CHEMUNG,00339-01  ,2417 STATE ROUTE 352  ,BIG FLATS,14814    ,075200,BIG FLATS,ELMIRA DRIVE IN,09/25/2016,Food Service Establishment,Food Service Establishment,,ZURICH DRIVE-IN CORP.,ZURICH ,CONRAD,265375,Inspection,,NY,42.133511,-76.942833
AP DELI                             ,"254 MERRICK  ROAD,  LYNBROOK",11/20/2009,5C,Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).,Critical Violation,1,0,8,Nassau  County,NASSAU,06497-08  ,254 MERRICK  ROAD,LYNBROOK,11563    ,290700,HEMPSTEAD,AP DELI,08/31/2016,Food Service Establishment,Food Service Establishment,,AP DELI INC.,,,676892,Inspection,,NY,40.657606,-73.668728
NEW CHINA EXPRESS                   ,"439 NORTH MAIN  STREET,  FREEPORT",11/09/2009,5C,Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).,Critical Violation,3,0,3,Nassau  County,NASSAU,15349-03  ,439 NORTH MAIN  STREET,FREEPORT,11520    ,290400,HEMPSTEAD,NEW CHINA EXPRESS,05/31/2016,Food Service Establishment,Food Service Establishment,,LONG FENG ZENG,,,664663,Inspection,,NY,40.671213,-73.588167
POSITANO BRICK OVEN PIZZA&RISTORANTE,"406 HILLSIDE  AVENUE,  WILLISTON PARK",11/20/2015,5C,Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).,Critical Violation,2,0,3,Nassau  County,NASSAU,08211-03  ,406 HILLSIDE  AVENUE,WILLISTON PARK,11596    ,296000,N. HEMPSTEAD,POSITANO BRICK OVEN PIZZA & RISTORANTE,01/31/2017,Food Service Establishment,Restaurant,POSITANO BRICK OVEN PIZZA&RISTORANTE,POSITANO BRICK OVEN PIZZA & RISTORANTE INC,,,577926,Inspection,"Grade A

80 seats

food manager Josephine decrescenzo 4/17 41195

excess soups may be stored on stove under heat, or start proper cooling process when temperature reaches 140 degrees

proper cooling procedures include ice water bath or uncovered in refrigerator in 4 inches depth or less",NY,40.753856,-73.654052
DELICIAS DEL REY RESTAURANT         ,"1299 B GRAND  AVENUE,  BALDWIN",01/27/2016,5C,Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).,Critical Violation,2,0,5,Nassau  County,NASSAU,15596-05  ,1299 B GRAND  AVENUE,BALDWIN,11510    ,295002,HEMPSTEAD,DELICIAS DEL REY RESTAURANT,12/31/2016,Food Service Establishment,Food Service Establishment,,DELICIAS DEL REY RESTAURANT CORP.,,,825573,Inspection,"Seating: , Extermination done monthly, FMTC holders; Ingrid Lozano 6/2018 #49028, Isabel Parada 6/2018 #49020, Filomena Sandoval 6/2018 #49031

Shellfish tags presented

RATING: A",NY,,
Johnston's Cafe                     ,"953 James STREET,  Syracuse",01/15/2008,5C,Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).,Critical Violation,2,0,5,Onondaga County,ONONDAGA,4223      ,953 James STREET,Syracuse,13203    ,330100,SYRACUSE,Johnston's Cafe,01/31/2017,Food Service Establishment,Restaurant,,,Johnston,Paul,605623,Inspection,,NY,43.05832,-76.136445
"CHINA BUFFET OF SO. GLENS FALLS, INC","38 MAIN STREET,  SOUTH GLENS FALLS",01/12/2012,5C,Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).,Critical Violation,6,0,6,Glens Falls District Office,SARATOGA,45-AD57   ,38 MAIN STREET,SOUTH GLENS FALLS,12803    ,452400,MOREAU,"CHINA BUFFET OF SO. GLENS FALLS, INC.",09/30/2017,Food Service Establishment,Food Service Establishment,,"CHINA BUFFET OF SO. GLENS FALLS, INC.",JIANG,MIN XIANG,581877,Inspection,,NY,43.30332,-73.639148
HALL OF SPRINGS                     ,"108 AVENUE OF THE PINES,  SARATOGA SPRINGS",12/12/2014,5C,Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).,Critical Violation,4,0,13,Glens Falls District Office,SARATOGA,45-AE68   ,108 AVENUE OF THE PINES  ,SARATOGA SPRINGS,12866    ,450100,SARATOGA SPGS.,HALL OF SPRINGS,03/31/2018,Food Service Establishment,Catering Operation,,"MAZZONE MANAGEMENT, INC.",MAZZONE,ANGELO ,333548,Inspection,"Comments only:  1.  Outdoor beverage walk in cooler read an inside ambient temperature of 52 degrees F according to thermometer located inside.  There are no foods or beverages stored in the cooler at time of inspection that require refrigeration.  If you wish to,use this cooler to store such items. then the cooler must be derived so that it is capable of holding items at or below 45 degrees F at all times.  2.  Wine bottles are stored in patio side ice bin at main bar.  Bar tender was not present and bar was not open at time of inspection.  Ice that is used for beverages cannot come into contact with other objects.  Unsure if that ice is used in beverages or just to chill wine bottles. 

All remaining violations must be corrected no later than 12/31/14.  Must send Corey DiLorenzo an email to corey.dilorenzo@health.ny.gov addressing corrective actions taken to all cited violations no later than 12/31/14.",NY,43.063029,-73.78973
ROMANA'S ITALIAN KITCHEN            ,"219 NORTH COMRIE AVENUE,  JOHNSTOWN",11/13/2014,5C,Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).,Critical Violation,2,0,0,Herkimer District Office,FULTON,17-AB27   ,219 NORTH COMRIE AVENUE,JOHNSTOWN,12095    ,170200,JOHNSTOWN,ROMANA'S ITALIAN KITCHEN,03/31/2017,Food Service Establishment,Restaurant,ROMANA'S ITALIAN KITCHEN,"ROMANA'S ITALIAN KITCHEN, INC.",VAHAVIOLOS,SARANTOS,337824,Inspection,,NY,43.015868,-74.361276
OLD WORLD CAFE & ICE CREAM          ,"1 WEST MARKET STREET, SUITE 101,  CORNING",03/10/2009,5C,Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).,Critical Violation,2,0,4,Hornell District Office,STEUBEN,50-0364   ,"1 WEST MARKET STREET, SUITE 101  ",CORNING,14830    ,500100,CORNING,OLD WORLD CAFE & ICE CREAM,01/15/2017,Food Service Establishment,Restaurant,OLD WORLD CAFE & ICE CREAM,,HERMAN,CHRISTOPHER,345129,Inspection,,NY,42.143461,-77.054536
CHINATOWN KITCHEN                   ,"466 Broadway STREET,  Monticello",04/07/2009,5C,Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).,Critical Violation,1,0,8,Monticello District Office,SULLIVAN,52-AB59   ,466 Broadway STREET,Monticello,12701    ,522200,THOMPSON,CHINATOWN KITCHEN,05/31/2016,Food Service Establishment,Food Service Establishment,,"Chinatown Kitchen of Monticello, Inc.",Chen,Bin,658591,Inspection,,NY,41.655427,-74.688354
BAGEL MENTCH                        ,"176 MIDDLE NECK  ROAD,  GREAT NECK",09/07/2011,5D,Potentially hazardous foods such as salads prepared from potatoes or macaroni are not prepared as recommended using prechilled ingredients and not  prechilled to 45oF or less as recommended before they are stored on buffet lines.,Critical Violation,1,0,12,Nassau  County,NASSAU,17285-03  ,176 MIDDLE NECK  ROAD,GREAT NECK,11021    ,291300,N. HEMPSTEAD,BAGEL MENTCH,12/31/2016,Food Service Establishment,Restaurant,,"BAGEL MENTCH, INC.",,,570435,Inspection,,NY,40.793238,-73.733076
FEEGANS WITCH KITCH BAR & GRILL     ,"90 JAMESTOWN STREET,  SINCLAIRVILLE",11/19/2015,5E,"Enough refrigerated storage equipment is not present, properly designed, maintained or operated so that all potentially hazardous foods are cooled properly and stored below 45oF as required.",Critical Violation,1,0,1,Chautauqua County,CHAUTAUQUA,06-AH82   ,90 JAMESTOWN STREET,SINCLAIRVILLE,14782    ,066200,GERRY,FEEGANS WITCH KITCH BAR & GRILL FSE,09/30/2017,Food Service Establishment,Food Service Establishment,,WITCH KITCH LLC,EGAN,CARRIE,786017,Inspection,free CL = 0.33  ppm in water;  A replacement prep cooler is  on-site and will replace the current Hobart cooler over the weekend   teeemperature,NY,42.254092,-79.266148
FIRST CHOICE CARIBBEAN  CUISINE     ,"451 FULTON STREET,  TROY",09/29/2006,5E,"Enough refrigerated storage equipment is not present, properly designed, maintained or operated so that all potentially hazardous foods are cooled properly and stored below 45oF as required.",Critical Violation,2,0,5,Rensselaer County,RENSSELAER,41-T323   ,451 FULTON STREET,TROY,12180    ,410202,TROY,FIRST CHOICE CARIBBEAN  CUISINE,09/30/2016,Food Service Establishment,Restaurant,,,CUMMINGS,NATASHA ,439287,Inspection,,NY,42.732261,-73.6881
FIRST CHOICE CARIBBEAN  CUISINE     ,"451 FULTON STREET,  TROY",09/28/2010,5E,"Enough refrigerated storage equipment is not present, properly designed, maintained or operated so that all potentially hazardous foods are cooled properly and stored below 45oF as required.",Critical Violation,1,0,0,Rensselaer County,RENSSELAER,41-T323   ,451 FULTON STREET,TROY,12180    ,410202,TROY,FIRST CHOICE CARIBBEAN  CUISINE,09/30/2016,Food Service Establishment,Restaurant,,,CUMMINGS,NATASHA ,439287,Inspection,,NY,42.732261,-73.6881
FIRST CHOICE CARIBBEAN  CUISINE     ,"451 FULTON STREET,  TROY",12/30/2014,5E,"Enough refrigerated storage equipment is not present, properly designed, maintained or operated so that all potentially hazardous foods are cooled properly and stored below 45oF as required.",Critical Violation,1,0,5,Rensselaer County,RENSSELAER,41-T323   ,451 FULTON STREET,TROY,12180    ,410202,TROY,FIRST CHOICE CARIBBEAN  CUISINE,09/30/2016,Food Service Establishment,Restaurant,,,CUMMINGS,NATASHA ,439287,Inspection,,NY,42.732261,-73.6881
"CHINA BUFFET OF SO. GLENS FALLS, INC","38 MAIN STREET,  SOUTH GLENS FALLS",02/12/2010,6A,Potentially hazardous foods are not kept at or above 140oF during hot holding.,Critical Violation,3,0,10,Glens Falls District Office,SARATOGA,45-AD57   ,38 MAIN STREET,SOUTH GLENS FALLS,12803    ,452400,MOREAU,"CHINA BUFFET OF SO. GLENS FALLS, INC.",09/30/2017,Food Service Establishment,Food Service Establishment,,"CHINA BUFFET OF SO. GLENS FALLS, INC.",JIANG,MIN XIANG,581877,Inspection,,NY,43.30332,-73.639148
LOG CABIN FAMILY RESTAURANT         ,"2445 WEST WALWORTH  ROAD,  MACEDON",06/18/2014,5E,"Enough refrigerated storage equipment is not present, properly designed, maintained or operated so that all potentially hazardous foods are cooled properly and stored below 45oF as required.",Critical Violation,4,0,8,Geneva District Office,WAYNE,58-A311   ,2445 WEST WALWORTH  ROAD,MACEDON,14502    ,585500,MACEDON,LOG CABIN FAMILY RESTAURANT,04/30/2017,Food Service Establishment,Restaurant,,IRAKLIS INC,INC,IRAKLIS ,327482,Inspection,"All items were reviewed with the facility owner at the time of inspection. During the discussion all cleaning items were discussed and mutually agree upon to be corrected by July 16, 2014 for inspection. Failure to complete these cleaning items may result in an 
Enforcement Action by this Department.  The Department has concerns with the severe build upon grease becoming a potential fire hazard.

The violations for improper hot holding and cold holding were reviewed with the facility owner at the time of inspection. It was reviewed that potentially hazardous items must me maintained either above 140F or below 45F except during times of preparation. Due to the above improper holding of potentially hazardous items the Department may take an Enforcement Action against the facility.

During the closing interview with the owner 1399-o was discussed as it pertains to the current operation of the above facility. The owner has had these aspects of the Clean Indoor Air Act explained. 

If you have any questions please feel free to contact the District Director at 315- 789-3030",NY,43.094667,-77.352007
HOT BISCUIT DINER                   ,"14 MONTCALM STREET,  TICONDEROGA",04/16/2012,5E,"Enough refrigerated storage equipment is not present, properly designed, maintained or operated so that all potentially hazardous foods are cooled properly and stored below 45oF as required.",Critical Violation,11,0,13,Saranac Lake District Office,ESSEX,15-AA86   ,14 MONTCALM STREET,TICONDEROGA,12883    ,156400,TICONDEROGA,HOT BISCUIT DINER,03/31/2017,Food Service Establishment,Restaurant/Catering Operation,,,DIXON,CRAIG,358716,Inspection,,NY,43.848249,-73.433649
MR. SUB                             ,"109   MILL STREET,  WATERTOWN",08/20/2015,5E,"Enough refrigerated storage equipment is not present, properly designed, maintained or operated so that all potentially hazardous foods are cooled properly and stored below 45oF as required.",Critical Violation,1,0,0,Watertown District Office,JEFFERSON,22-AE57   ,109   MILL STREET  ,WATERTOWN,13601    ,220100,WATERTOWN,MR. SUB,12/31/2016,Food Service Establishment,Restaurant,Mr. Sub,"Mr. Sub Sandwich Shop, Inc.",Farone,Carl,363011,Inspection,"operator was aware of the issue, but is still awaiting a technician to come out and service the cooler.",NY,43.975461,-75.907863
GREYHOUND LINES                     ,"34 HAMILTON  STREET,  ALBANY",10/01/2009,6A,Potentially hazardous foods are not kept at or above 140oF during hot holding.,Critical Violation,1,0,5,Albany County,ALBANY,01-1330   ,34 HAMILTON  STREET,ALBANY,12207    ,010100,ALBANY,GREYHOUND LINES ,06/30/2016,Food Service Establishment,Restaurant,,"GREYHOUND LINES, INC.",HINZMAN,DONNA,251387,Inspection,,NY,42.646292,-73.751538
EVANS ALFIE'S RESTAURANT            ,"986 EAST FAIRMOUNT AVE WE AVENUE,  JAMESTOWN",10/03/2008,6A,Potentially hazardous foods are not kept at or above 140oF during hot holding.,Critical Violation,2,0,8,Chautauqua County,CHAUTAUQUA,06-AG85   ,986 EAST FAIRMOUNT AVE WE AVENUE,JAMESTOWN,14701    ,065900,ELLICOTT,EVANS ALFIE'S RESTAURANT,12/31/2017,Food Service Establishment,Restaurant,,,EVANS,DANIEL,263447,Inspection,,NY,42.097549,-79.293121
WENDY'S OLD FASHIONED HAMBURGERS 829,"5727 SOUTH TRANSIT ROAD,  LOCKPORT",12/02/2010,6A,Potentially hazardous foods are not kept at or above 140oF during hot holding.,Critical Violation,1,0,2,Niagara County,NIAGARA,F1157     ,5727 SOUTH TRANSIT ROAD,LOCKPORT,14094    ,315300,LOCKPORT,Wendy's Old Fashioned Hamburgers #829,12/31/2016,Food Service Establishment,Frozen Desserts,,"Great Lakes Restaurant Management, LLC",Consaul,Richard,288461,Inspection,"6A - At 10:45 AM, spicy chicken nuggets temped at 131 degrees f with inspectors calibrated food testing thermometer.  nuggets were 15 minutes old.  Reheated to 180 degrees f by manager.  Corrected.
12C - Plumbing leak at 3-bay sink in rear kitchen area.  Repairman called.
15B - Lighting in walkin freezer very dim and not properly sheilded.  Dust accumulation on vents in freezer.",NY,43.147601,-78.696815
Boys & Girls Club of Syracuse       ,"2100 EAST Fayette STREET,  syracuse",06/15/2015,6A,Potentially hazardous foods are not kept at or above 140oF during hot holding.,Critical Violation,1,0,5,Onondaga County,ONONDAGA,3223      ,2100 EAST Fayette STREET,syracuse,13224    ,330100,SYRACUSE,Boys & Girls Club of Syracuse,01/31/2017,Food Service Establishment,Food Service Establishment,,Boys & Girls Club of Syracuse,,,538051,Inspection,,NY,43.048134,-76.113597
LOU'S CORNER STORE                  ,"100 FREDRICK STREET,  CORTLANDT MANOR",01/14/2015,6A,Potentially hazardous foods are not kept at or above 140oF during hot holding.,Critical Violation,2,0,2,Westchester County,WESTCHESTER,01-N252-A ,100 FREDRICK STREET,CORTLANDT MANOR,10567    ,595100,CORTLANDT,LOU'S CORNER STORE,09/30/2016,Food Service Establishment,Delicatessen,,EESHA DELI LLC,PARKASH,VED,788059,Inspection,,NY,41.301573,-73.882906
Coach's Corner                      ,"191-193 Park Street,  Massena",03/12/2012,6A,Potentially hazardous foods are not kept at or above 140oF during hot holding.,Critical Violation,1,0,16,Canton District Office,ST LAWRENCE,44-AD84   , 191-193 Park Street  ,Massena,13662    ,440200,MASSENA,Coach's Corner,10/31/2017,Food Service Establishment,Restaurant,Coach's Corner,"Alwich, Inc.",Chilton,Allen,324379,Inspection,,NY,44.938017,-74.88169
LOG CABIN FAMILY RESTAURANT         ,"2445 WEST WALWORTH  ROAD,  MACEDON",04/12/2006,6A,Potentially hazardous foods are not kept at or above 140oF during hot holding.,Critical Violation,4,0,24,Geneva District Office,WAYNE,58-A311   ,2445 WEST WALWORTH  ROAD,MACEDON,14502    ,585500,MACEDON,LOG CABIN FAMILY RESTAURANT,04/30/2017,Food Service Establishment,Restaurant,,IRAKLIS INC,INC,IRAKLIS ,327482,Inspection,,NY,43.094667,-77.352007
DELI BUTTON                         ,"2003 ROUTE 52,  HOPEWELL JUNCTION",10/15/2015,None,,Not Critical Violation,0,0,0,Dutchess County,DUTCHESS,0000213   ,2003 ROUTE 52  ,HOPEWELL JUNCTION,12533    ,135400,E. FISHKILL,DELI BUTTON,12/31/2016,Food Service Establishment,Restaurant,,, NARDONE,FRANK,273808,Inspection,,NY,,
