FACILITY,ADDRESS,LAST INSPECTED,VIOLATIONS,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,DESCRIPTION, LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY ADDRESS,CITY,ZIP CODE,NYSDOH GAZETTEER (1980),MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTION COMMENTS,FOOD SERVICE FACILITY STATE,Location1
SUBWAY                              ,"218A NORTH LONG BEACH  ROAD,  ROCKVILLE CENTRE",12/18/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,218A NORTH LONG BEACH  ROAD,ROCKVILLE CENTRE,11570    ,290900,HEMPSTEAD,SUBWAY,08/31/2016,,KALN LTD,,,748999,Inspection,"no violations at time of inspection. rating ""A.""; 110M; 16 seats.",NY,"(40.661204, -73.62901)"
KITZEL'S  RESTAURANT                ,"1192 LYELL AVENUE,  ROCHESTER",10/23/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Monroe County,MONROE,1192 LYELL AVENUE,ROCHESTER,14606    ,270104,ROCHESTER,KITZEL  RESTAURANT,12/31/2016,,,,,666974,Re-Inspection,,NY,"(43.164695, -77.656794)"
BABA LOUIES SOURDOUGH PIZZA         ,"517 WARREN STREET,  HUDSON",12/17/2015,"Item  3C-  Critical Violation [RED] Food workers do not use proper utensils to eliminate bare hand contact with cooked or prepared foods.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",1,0,7,Food Service Establishment - Restaurant,Columbia County,COLUMBIA, 517 WARREN STREET  ,HUDSON,12534    ,100100,HUDSON,BABA LOUIES SOURDOUGH PIZZA,06/30/2016,,"HANNACOBELLA, INC.",MASIERO,PAUL,270115,Inspection,,NY,"(42.249186, -73.786168)"
COLUMBIA HGH SCHOOL                 ,"962 LUTHER ROAD,  EAST GREENBUSH",12/21/2015,"Item  1D-  Critical Violation [RED] Canned foods found in poor conditions (leakers, severe dents, rusty, swollen cans); ",1,0,0,Institutional Food Service - School K-12 Food Service,Rensselaer County,RENSSELAER,962 LUTHER ROAD,EAST GREENBUSH,12061    ,415200,E. GREENBUSH,COLUMBIA HGH SCHOOL ,10/31/2016,,EAST GREENBUSH SCHOOL DISTRICT,Sanford-Krug,Phyllis,301100,Inspection,"Dented can of soup was removed from shelf during inspection (return for credit).
Make sure chicken tenders are cold before assembling wraps.",NY,"(42.620872, -73.690763)"
INN AT LEEDS                        ,"1125  Route 23B,  Leeds",12/21/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,11,Food Service Establishment - Restaurant,Oneonta District Office,GREENE,1125  Route 23B  ,Leeds,12451    ,195300,CATSKILL,THE INN AT LEEDS,09/30/2017,,"BYRNE & BYRNE, INC.",Byrne,John,355096,Inspection,"Temperatures taken in refrigeration and of food items were found to be acceptable.
Please mail a paper report to Darlene Schnur 6 Porto Rd Catskill, NY 12414.",NY,"(42.255121, -73.901753)"
CROSSROADS FOOD SHOP                ,"2642 ROUTE 23,  HILLSDALE",12/16/2015,"Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",1,0,2,Food Service Establishment - Food Service Establishment,Columbia County,COLUMBIA,2642 ROUTE 23  ,HILLSDALE,12529    ,106100,HILLSDALE,CROSSROADS FOOD SHOP,12/31/2016,,CROSS ROADS FOOD SHOP,WURTH,DAVID,783776,Inspection,,NY,"(42.17918, -73.524995)"
UNITARIA UNIV CONGREG @ SHELTER ROCK,"48 SHELTER ROCK  ROAD,  MANHASSET",12/17/2015,"Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; ",0,0,2,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Nassau  County,NASSAU,48 SHELTER ROCK  ROAD,MANHASSET,11030    ,295109,N. HEMPSTEAD,UNITARIA UNIV CONGREG @ SHELTER ROCK,01/31/2017,UNITARIA UNIV CONGREG @ SHELTER ROCK,UNITARIAN UNIV CONGREG @ SHELTER ROCK,,,579338,Inspection,rating A    non-operational inspection,NY,"(40.784842, -73.681874)"
TORREY PARK GRILL                   ,"89 AVENUE E,  GENEVA",12/16/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Geneva District Office,ONTARIO,89 AVENUE E  ,GENEVA,14456    ,340200,GENEVA,TORREY PARK GRILL ,05/31/2017,,,MOSCHIANO ,JEANANN,560589,Inspection,,NY,"(42.880385, -76.985095)"
GRAMMA D'S                          ,"192  Delaware  STREET,  Walton",12/18/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Oneonta District Office,DELAWARE,192  Delaware  STREET,Walton,13856    ,122900,WALTON,GRAMMA D'S,06/30/2016,,,Williams,Doreen,560244,Re-Inspection,"Measured the temperature of the following items in the Upper Compartment of the Bain Marie (degrees F):  Shredded Mozzarella in a bowl - 46 to 47, Sliced Turkey Breast - 41.4, Sliced Roast Beef - 38.9.  The temperatures are now in the acceptable range.  Recommended that all food items stored in the upper compartment of both Bain Marie Units be placed so that they are immersed in the cold air.  Report must be mailed.",NY,"(42.168864, -75.132304)"
DUNKIN DONUTS / BASKIN ROBBINS      ,"389 ATLANTIC  AVENUE,  FREEPORT",12/18/2015,"Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,6,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,389 ATLANTIC  AVENUE,FREEPORT,11520    ,290400,HEMPSTEAD,DUNKIN DONUTS / BASKIN ROBBINS,09/30/2016,,"CANYON DONUTS FREEPORT, INC.",,,683605,Inspection,,NY,"(40.644516, -73.593172)"
IMPERIAL DINER                      ,"63 WEST MERRICK  ROAD,  FREEPORT",12/21/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 12A-   Hot, cold running water not provided, pressure inadequate; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,5,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,63 WEST MERRICK  ROAD,FREEPORT,11520    ,290400,HEMPSTEAD,IMPERIAL DINER,11/30/2016,IMPERIAL DINER,IMPERIAL DINER INC,,,573222,Inspection,"Seatings: 189 : Food Manager's Certificate Harry Arianas-----November 2016: Inspection Ratings: 0/5""A""",NY,"(40.653733, -73.583048)"
UNION BAPTIST CHURCH                ,"24 CLINTON C BOONE  PLACE,  HEMPSTEAD",12/21/2015,"Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; ",0,0,1,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Nassau  County,NASSAU,24 CLINTON C BOONE  PLACE,HEMPSTEAD,11550    ,290600,HEMPSTEAD,UNION BAPTIST CHURCH,09/30/2016,,UNION BAPTIST CHURCH,,,753014,Inspection,"Seating:  Varies, Rating ""A"", Food Manager: None",NY,"(40.700976, -73.625377)"
BOSWELL'S DELI OF MERRICK           ,"1828 MERRICK  AVENUE,  MERRICK",12/09/2015,"Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); ",0,0,1,Food Service Establishment - Delicatessen,Nassau  County,NASSAU,1828 MERRICK  AVENUE,MERRICK,11566    ,295029,HEMPSTEAD,BOSWELL'S DELI OF MERRICK,12/31/2016,BOSWELL'S DELI OF MERRICK,WIGLEAVY INC,,,579824,Re-Inspection,,NY,"(40.67354, -73.55622)"
"END ZONE, THE                       ","227 PARK AVENUE,  MECHANICVILLE",10/19/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8B-   In use food dispensing utensils improperly stored; Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,30,Food Service Establishment - Restaurant,Glens Falls District Office,SARATOGA,227 PARK AVENUE,MECHANICVILLE,12118    ,452300,MECHANICVILLE,"END ZONE, THE",06/30/2017,,"BAGNOLI, RINALDI & GRAYSON, LLC.",GRAYSON,LAWRENCE ,334360,Inspection,"Structural/maintenance violations (deteriorated floors/walls etc) to be corrected by 1/1/16.  All other violations to be corrected by 11/1/15.  Email Megan (megan.hughes@health.ny.gov) with corrections or any questions.

Enforcement action may be initiated.",NY,"(42.903418, -73.689322)"
ADLAI STEVENSON  SCHOOL #29         ,"88 KIRKLAND ROAD,  ROCHESTER",10/16/2015,"Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; ",0,0,1,Institutional Food Service - School K-12 Food Service,Monroe County,MONROE,88 KIRKLAND ROAD,ROCHESTER,14611    ,270104,ROCHESTER,SCHOOL NO. 29,12/31/2016,,,,,667344,Inspection,,NY,"(43.146545, -77.638894)"
O'MALLEY'S CABIN ON THE LAKE        ,"7938 COUNTY ROAD 153,  INTERLAKEN",10/09/2015,"Item  5A-  Critical Violation [RED] Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.; ",4,0,0,Food Service Establishment - Restaurant,Seneca  County,SENECA,7938 COUNTY ROAD 153  ,INTERLAKEN,14847    ,495400,OVID,O'MALLEY'S CABIN ON THE LAKE,09/30/2016,,,GOOD SR.,STEVEN,554369,Inspection,"Cold holding (other than items discarded) at 45F
Hot holding to be at 140F
Reheat of Crab Bisque during inspection was at 165F- as required
Gloves worn during preparation of ready to eat foods
Utensils used in place of gloves where applicable
ADM-2 IN FILE",NY,"(42.639917, -76.692685)"
EARLY CHILDHOOD COMMUNITY CENTER    ,"1020 CENTRAL AVENUE,  DUNKIRK",10/19/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; ",0,0,2,Institutional Food Service - School K-12 Food Service,Chautauqua County,CHAUTAUQUA,1020 CENTRAL AVENUE,DUNKIRK,14048    ,060100,DUNKIRK,EARLY CHILDHOOD COMMUNITY CENTER  FSE,09/30/2017,,CHAUTAUQUA OPPORTUNITIES INC.,DOLCE,JOHN,475294,Inspection,,NY,"(42.467192, -79.33338)"
COLEBROOK SCHOOL                    ,"210 COLEBROOK DRIVE,  ROCHESTER",10/20/2015,No violations found.,0,0,0,Institutional Food Service - School K-12 Food Service,Monroe County,MONROE,210 COLEBROOK DRIVE,ROCHESTER,14617    ,270104,ROCHESTER,COLEBROOK SCHOOL,12/31/2016,,,,,813768,Inspection,,NY,"(43.239942, -77.593056)"
DUNKIN DONUTS - RT 44               ,"816-818 DUTCHESS  TURNPIKE,  POUGHKEEPSIE",10/21/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); ",0,0,1,Food Service Establishment - Restaurant,Dutchess County,DUTCHESS,816-818 DUTCHESS  TURNPIKE,POUGHKEEPSIE,12603    ,136300,POUGHKEEPSIE,DUNKIN DONUTS - RT 44,10/31/2016,,HIGGINS DONUTS LLC,SARDINHA,MARIO,274916,Inspection,,NY,"(41.701965, -73.871772)"
Hamar's Pub                         ,"21 North Main STREET,  Wellsville",10/21/2015,No violations found.,,,,Food Service Establishment - Restaurant,Allegany County,ALLEGANY,21 North Main STREET,Wellsville,14895    ,022800,WELLSVILLE,Hamar's Pub Food,10/31/2016,,S & I Hamar LLC,Hamar,Ingo,254945,Inspection,,NY,"(42.120031, -77.945067)"
DUTCH POT RESTAURANT                ,"1733 NORTON STREET,  ROCHESTER",10/23/2015,"Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; ",0,0,1,Food Service Establishment - Restaurant,Monroe County,MONROE,1733 NORTON STREET,ROCHESTER,14609    ,270104,ROCHESTER,DUTCH POT RESTAURANT,12/31/2016,,,,,812169,Inspection,,NY,"(43.187605, -77.575276)"
WHAT'S UP DAWG'S                    ,"70 QUAKER STREET,  GRANVILLE",10/26/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.; ",0,0,4,Food Service Establishment - Food Service Establishment,Glens Falls District Office,WASHINGTON,70 QUAKER STREET,GRANVILLE,12832    ,572500,GRANVILLE,WHAT'S UP DAWG'S ,09/30/2017,,WHAT'S UP DAWG'S LLC,COVINO,VINCENT,814882,Inspection,Discussed cooling-education provided. Cool wings in shallow pans. all temps ok.,NY,"(43.400131, -73.265765)"
NORTH BRANCH INN                    ,"869 NORTH BRANCH  ROAD,  NORTH BRANCH",10/27/2015,"Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item  8C-   Improper use and storage of clean, sanitized equipment and utensils; Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean; ",1,0,6,Food Service Establishment - Food Service Establishment,Monticello District Office,SULLIVAN,869 NORTH BRANCH  ROAD,NORTH BRANCH,12766    ,525100,CALLICOON,NORTH BRANCH INN ,05/31/2016,,North Branch Inn LLC,Foster,Corey,897020,Inspection,"Restaurant open from 5:30 to 9:30 pm Thursday through Saturday (kitchen not operating atoi).  Atoi = at time of inspection.  All foods properly cold-held in refrigeration units (at 39 degrees Fahrenheit or less).  Observed tags for clams (only bag used so far, per inn keeper), and discussed that tags must be retained for at least ninety days. Observed septic system area. Will return to collect water sample and for re-inspection when food service is open.",NY,"(41.806491, -74.992183)"
PASTA PANE                          ,"18 PARK AVENUE,  CLIFTON PARK",10/28/2015,"Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; ",0,0,1,Food Service Establishment - Food Service Establishment,Glens Falls District Office,SARATOGA,18 PARK AVENUE,CLIFTON PARK,12065    ,455200,CLIFTON PARK,PASTA PANE,09/30/2017,,"PERMIEIFIGLI, INC.",PORRECA,NICHOLAS,906800,Inspection,Please correct violation by 11/10/15.  Email Megan (megan.hughes@health.ny.gov) with corrections or any questions.,NY,"(42.86493, -73.779167)"
CHERRY LANE ELEMENTARY SCHOOL       ,"1 HEATHER DRIVE,  SUFFERN",10/27/2015,No violations found.,0,0,0,Institutional Food Service - School K-12 Food Service,Rockland County,ROCKLAND,1 HEATHER DRIVE,SUFFERN,10901    ,435300,RAMAPO,CHERRY LANE ELEMENTARY SCHOOL,10/31/2016,VALLEY COTTAGE ELEMENTARY,"ARAMARK EDUCATIONAL SERVICES, LLC","EDUCATIONAL SERVICES, LLC",ARAMARK ,877448,Inspection,,NY,"(41.102972, -74.097793)"
BEAU'S  PIZZERIA                    ,"151 NORTH MAIN STREET,  GLOVERSVILLE",10/29/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Herkimer District Office,FULTON,151 NORTH MAIN STREET,GLOVERSVILLE,12078    ,170100,GLOVERSVILLE,BEAU'S  PIZZERIA,12/31/2016,,"BEAU'S PIZZERIA, INC.",KICINSKI,BEAU,424506,Inspection,"No violations. cooler,freezer,gloves ok.  sanitizer.",NY,"(43.053823, -74.343321)"
THREE BEAR INN                      ,"3 Broome STREET,  MARATHON",10/30/2015,"Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11D-   Non food contact surfaces of equipment not clean; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 14A-   Insects, rodents present; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded; ",1,0,9,Food Service Establishment - Restaurant,Cortland County,CORTLAND,3 Broome STREET,MARATHON,13803    ,112200,MARATHON,Food Service,01/31/2017,,,,,272356,Inspection,- No 3-compartment sink available in the kitchen (dishwashing facilities available for warewashing).,NY,"(42.441273, -76.031888)"
J & G ITALIAN DELI                  ,"23 BEEKMAN AVENUE,  SLEEPY HOLLOW",11/04/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,2,Food Service Establishment - Food Service Establishment,Westchester County,WESTCHESTER,23 BEEKMAN AVENUE,SLEEPY HOLLOW,10591    ,593200,MT. PLEASANT,J & G ITALIAN DELI,05/31/2016,J & G ITALIAN DELI,J & G ITALIAN DELI INC,CLASADONTE,GIUSEPPE,442950,Inspection,,NY,"(41.085183, -73.859686)"
GOLDEN WOK CAFE                     ,"875 SAW MILL RIVER ROAD,  ARDSLEY",01/14/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  9D-   Dressing rooms dirty, not provided, improperly located; Item 11D-   Non food contact surfaces of equipment not clean; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,6,Food Service Establishment - Food Service Establishment,Westchester County,WESTCHESTER,875 SAW MILL RIVER ROAD,ARDSLEY,10502    ,592400,GREENBURGH,GOLDEN WOK CAFE,10/31/2016,GOLDEN WOK CAFE,"S & S WESTCHESTER RESTAURANT, INC.",SHUE,JAING HAI,497650,Inspection,,NY,"(41.018066, -73.844195)"
J&D DELI                            ,"173 CROTON  AVENUE,  OSSINING",03/26/2015,"Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; ",0,0,1,Food Service Establishment - Food Service Establishment,Westchester County,WESTCHESTER,173 CROTON  AVENUE,OSSINING,10562    ,590500,OSSINING,J&D DELI,05/31/2016,J D DELI & CATERING,J D DELI AND CATERING INC,,,443047,Inspection,,NY,"(41.166985, -73.849591)"
SET-BACK INN                        ,"33 MAIN STREET,  TARRYTOWN",03/25/2015,"Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; ",0,0,2,Food Service Establishment - Food Service Establishment,Westchester County,WESTCHESTER,33 MAIN STREET,TARRYTOWN,10591    ,591100,GREENBURG,SET-BACK INN,08/31/2016,,,TOTH,OLGA,448844,Inspection,,NY,"(41.07667, -73.859907)"
ALFONSOS PIZZA                      ,"79 RIVERDALE AVENUE,  YONKERS",01/05/2015,"Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,2,Food Service Establishment - Food Service Establishment,Westchester County,WESTCHESTER,79 RIVERDALE AVENUE,YONKERS,10701    ,590707,YONKERS,ALFONSOS PIZZA,03/31/2017,,ALFONSOS PIZZA CORP.,ALFONSOS PIZZA CORP., ,455545,Inspection,,NY,"(40.930703, -73.900591)"
HIGHVIEW SCHOOL CAFETERIA           ,"200 NORTH CENTRAL AVENUE,  HARTSDALE",03/09/2015,"Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.; ",0,0,5,Institutional Food Service - School K-12 Food Service,Westchester County,WESTCHESTER,200 NORTH CENTRAL AVENUE,HARTSDALE,10530    ,595300,GREENBURGH,HIGHVIEW SCHOOL CAFETERIA,12/31/2016,,"ARAMARK EDUCATIONAL SERVICES, LLC",, ,499920,Inspection,,NY,"(41.021017, -73.796114)"
SUBWAY                              ,"324 MAMARONECK AVENUE,  MAMARONECK",01/12/2015,"Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; ",0,0,1,Food Service Establishment - Food Service Establishment,Westchester County,WESTCHESTER,324 MAMARONECK AVENUE,MAMARONECK,10543    ,590901,RYE,SUBWAY,08/31/2016,,,ALAM,MOHAMMED,443698,Inspection,,NY,"(40.951296, -73.735268)"
DOLPHIN RESTAURANT                  ,"1 VAN DER DONCK STREET,  YONKERS",03/23/2015,"Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,5,Food Service Establishment - Food Service Establishment,Westchester County,WESTCHESTER,1 VAN DER DONCK STREET,YONKERS,10701    ,590707,YONKERS,DOLPHIN RESTAURANT,05/31/2016,,"WSH GROUP I, LLC",RUGUVA,HALL,740432,Re-Inspection,,NY,"(40.934859, -73.90337)"
MASALA KRAFT CAFE                   ,"206 EAST HARTSDALE AVENUE,  HARTSDALE",02/24/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; ",0,0,3,Food Service Establishment - Food Service Establishment,Westchester County,WESTCHESTER,206 EAST HARTSDALE AVENUE,HARTSDALE,10530    ,595300,GREENBURGH,MASALA KRAFT CAFE,06/30/2016,,MASALA KRAFT CAFE LLC,, ,714210,Re-Inspection,,NY,"(41.015064, -73.796875)"
Clarion                             ,"8250 Park ROAD,  BATAVIA",11/03/2015,Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; ,0,0,1,Food Service Establishment - Food Service Establishment,Genesee County,GENESEE,8250 Park ROAD,BATAVIA,14020    ,185200,BATAVIA,Clarion FSE,11/30/2016,,Darienlake Hospitality LLC,Hospitality Inc.,Park Road,278580,Inspection,"Kitchen clean, coolers well organized - all hot and cold holding temperatures were good - Do contract with Terminex for pest control - Reminder employees drinking in food prep areas are to use covered containers with straws",NY,"(43.013847, -78.200916)"
MORO'S TABLE                        ,"1 EAST GENESEE STREET,  AUBURN",11/13/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Cayuga County,CAYUGA,1 EAST GENESEE STREET,AUBURN,13021    ,050100,AUBURN,MORO'S TABLE,03/31/2017,,"Moro's Bistro, Inc.",Moro,Edward,733567,Inspection,,NY,"(42.933046, -76.563631)"
GREAT WALL NY RESTAURANT            ,"2330 WATT STREET,  SCHENECTADY",10/30/2015,"Item  1D-  Critical Violation [RED] Canned foods found in poor conditions (leakers, severe dents, rusty, swollen cans); Item  6A-  Critical Violation [RED] Potentially hazardous foods are not kept at or above 140oF during hot holding.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; ",2,0,2,Food Service Establishment - Restaurant,Schenectady County,SCHENECTADY,2330 WATT STREET,SCHENECTADY,12304    ,460100,SCHENECTADY,GREAT WALL NY RESTAURANT,12/31/2016,,GREAT WALL NY RESTAURANT,LIU,YONG FENG,305865,Inspection,,NY,"(42.784858, -73.917062)"
